Time,Value
1,1.3534
2,0.4641
3,0.754
4,0.7019
5,0.9256
6,0.5903
7,0.476
8,1.353
9,0.1909
10,1.7201
11,1.7644
12,1.3555
13,1.8943
14,1.5706
15,1.6334
16,2.7275
17,2.4954
18,3.5394
19,4.003
20,3.1918
21,3.1513
22,3.9969
23,2.447
24,2.8704
25,3.5326
26,3.9453
27,3.9835
28,4.1423
29,4.6039
30,4.3865
31,4.8194
32,4.8148
33,4.5514
34,4.573
35,4.6283
36,5.4924
37,5.3416
38,6.5009
39,5.8191
40,6.8483
41,5.5034
42,6.2484
43,5.7317
44,6.4502
45,7.113
46,6.6717
47,6.8842
48,7.3749
49,8.2774
50,7.0449
51,7.1223
52,7.4768
53,7.8735
54,7.7103
55,8.3794
56,8.7624
57,7.9371
58,9.4814
59,8.1331
60,9.1552
61,9.6185
62,11.6561
63,8.7034
64,9.4316
65,9.9727
66,10.3974
67,9.1178
68,11.4832
69,7.949
70,8.2651
71,9.3798
72,8.2758
73,7.4957
74,10.9342
75,10.309
76,6.5858
77,10.3463
78,10.5859
79,7.8991
80,10.7066
81,7.3942
82,8.5623
83,8.9602
84,9.7382
85,9.6262
86,9.421
87,8.129
88,11.0056
89,9.9548
90,8.5094
91,8.4729
92,10.844
93,9.9254
94,8.0691
95,8.6859
96,10.3892
97,6.7881
98,8.115
99,10.0202
100,7.6875
101,11.0834
102,7.8164
103,7.4928
104,7.5596
105,9.205
106,8.662
107,8.2296
108,9.2878
109,8.1897
110,9.4595
111,9.9342
112,9.586
113,7.8587
114,10.2381
115,9.3494
116,10.1549
117,10.3261
118,8.6894
119,10.0952
120,8.3045
121,8.4979
122,7.5872
123,7.826
124,7.7391
125,6.7999
126,6.8669
127,6.5007
128,7.4595
129,7.4583
130,8.5098
131,8.7743
132,8.2428
133,8.2956
134,8.3172
135,8.6492
136,7.7688
137,7.5428
138,7.1538
139,7.1723
140,7.1727
141,7.2366
142,7.4738
143,7.2868
144,7.5769
145,7.2852
146,6.9806
147,7.0523
148,7.0505
149,6.4591
150,7.4749
151,6.8892
152,6.028
153,6.4949
154,6.659
155,6.7557
156,6.3404
157,5.5413
158,5.3316
159,5.2088
160,5.115
161,5.0618
162,5.5822
163,4.9334
164,3.8794
165,3.5893
166,2.6563
167,1.1878
168,1.8491
169,1.8381
170,1.4247
171,1.1291
172,1.9009
173,2.3659
174,2.7148
175,2.7802
176,2.1487
177,1.986
178,1.4132
179,2.328
180,1.7048
