Time,Value
0,100.4
1,100.8
2,101.2
3,100.9
4,101.5
5,100.7
6,99.8
7,100.3
8,100.6
9,101.1
10,100.5
11,99.9
12,100.2
13,100.7
14,101.3
15,100.6
16,99.7
17,100.1
18,100.4
19,100.9
20,101.6
21,100.8
22,99.6
23,100.0
24,100.3
25,101.0
26,100.5
27,99.8
28,100.2
29,100.7
30,101.4
31,100.6
32,99.5
33,100.1
34,100.5
35,101.2
36,100.8
37,99.9
38,100.3
39,100.7
40,101.1
41,100.6
42,99.7
43,100.2
44,100.6
45,101.0
46,100.5
47,99.8
48,100.1
49,100.4
50,100.9
51,100.6
52,99.9
53,100.3
54,100.7
55,101.2
56,100.8
57,99.6
58,100.0
59,100.4
60,101.1
61,100.7
62,99.8
63,100.2
64,100.5
65,101.3
66,100.9
67,99.7
68,100.1
69,100.6
70,101.0
71,100.5
72,99.9
73,100.3
74,100.7
75,101.4
76,100.6
77,99.8
78,100.2
79,100.5
80,100.9
81,100.4
82,99.6
83,100.0
84,100.3
85,101.1
86,100.7
87,99.9
88,100.4
89,100.8
90,120.0
91,100.5
92,99.7
93,100.1
94,100.6
95,101.2
96,100.8
97,99.8
98,100.2
99,100.5
100,101.0
101,100.6
102,99.9
103,100.4
104,100.8
105,101.3
106,100.7
107,99.6
108,100.0
109,100.3
110,101.1
111,100.6
112,99.7
113,100.1
114,100.5
115,101.4
116,100.9
117,99.8
118,100.3
119,100.7
120,80.0
121,100.5
122,99.9
123,100.2
124,100.6
125,101.0
126,100.7
127,99.8
128,100.4
129,100.8
130,130.0
131,100.6
132,99.7
133,100.2
134,100.5
135,101.3
136,100.8
137,99.9
138,100.3
139,100.7
140,101.1
141,100.6
142,99.8
143,100.2
144,100.5
145,101.2
146,100.9
147,99.7
148,100.1
149,100.6
150,100.8
151,100.4
152,99.9
153,100.3
154,100.7
155,101.5
156,100.6
157,99.8
158,100.2
159,100.5
160,101.0
161,100.7
162,99.6
163,100.0
164,100.4
165,101.2
166,100.8
167,99.9
168,100.3
169,100.7
170,101.1
171,100.6
172,99.8
173,100.2
174,100.5
175,101.3
176,100.9
177,99.7
178,100.1
179,100.6
