Time,Value
0,10.12
1,10.18
2,10.31
3,10.27
4,10.42
5,10.55
6,10.61
7,10.74
8,10.80
9,10.93
10,11.02
11,11.15
12,11.28
13,11.36
14,11.44
15,11.52
16,11.68
17,11.79
18,11.95
19,12.08
20,12.26
21,12.40
22,12.65
23,12.81
24,13.02
25,13.18
26,13.31
27,13.48
28,13.62
29,13.74
30,13.91
31,14.05
32,14.22
33,14.39
34,14.61
35,14.83
36,15.02
37,15.25
38,15.44
39,15.62
40,15.79
41,15.58
42,15.21
43,14.87
44,14.52
45,14.18
46,13.94
47,13.71
48,13.48
49,13.22
50,12.97
51,12.71
52,12.55
53,12.39
54,12.28
55,12.17
56,12.05
57,11.93
58,11.82
59,11.74
60,11.65
61,11.57
62,11.49
63,11.42
64,11.36
65,11.31
66,11.28
67,11.24
68,11.22
69,11.21
70,11.23
71,11.29
72,11.38
73,11.52
74,11.71
75,11.95
76,12.24
77,12.58
78,12.96
79,13.41
80,13.92
81,14.46
82,15.03
83,15.61
84,16.15
85,16.63
86,17.01
87,17.25
88,17.32
89,17.18
90,16.84
91,16.33
92,15.72
93,15.08
94,14.49
95,14.02
96,13.72
97,13.63
98,13.76
99,14.10
100,14.60
101,15.19
102,15.80
103,16.37
104,16.84
105,17.20
106,17.45
107,17.62
108,17.74
109,17.85
110,17.96
111,18.09
112,18.23
113,18.37
114,18.52
115,18.66
116,18.80
117,18.93
118,19.04
119,19.13
120,19.19
121,19.23
122,19.26
123,19.28
124,19.29
125,19.30
126,19.31
127,19.33
128,19.37
129,19.44
130,19.55
131,19.71
132,19.92
133,20.17
134,20.45
135,20.74
136,21.01
137,21.24
138,21.41
139,21.50
140,21.50
141,21.40
142,21.21
143,20.94
144,20.63
145,20.31
146,20.01
147,19.77
148,19.60
149,19.53
150,19.56
151,19.69
152,19.91
153,20.19
154,20.50
155,20.81
156,21.09
157,21.30
158,21.42
159,21.44
160,21.36
161,21.19
162,20.96
163,20.70
164,20.46
165,20.27
166,20.16
167,20.14
168,20.21
169,20.36
170,20.58
171,20.85
172,21.15
173,21.46
174,21.75
175,22.01
176,22.21
177,22.34
178,22.39
179,22.35
180,22.22
181,22.01
182,21.74
183,21.44
184,21.15
185,20.89
186,20.71
187,20.61
188,20.60
189,20.69
190,20.87
191,21.13
192,21.45
193,21.80
194,22.14
195,22.44
196,22.67
197,22.80
198,22.82
199,22.72
